cu_id;kategorie;curve_skewness;area_total;slope_rising;slope_falling;global_max_x;global_min_x;Top1_Minima_Druck;Peak_to_Minima_Diff;cluster;PCA1;PCA2
11;1;1.3914075008510962;712.184909701142;178.70400083897016;-64.69261525521114;0.6439375281333923;0.5030625462532043;-2.697242736816406;526.3609390258789;1;2.939859283655243;-1.3120388389608972
12;1;1.4024245192689926;751.9955085494743;287.91261750611596;-150.28771979706255;0.5835625529289246;0.4829375147819519;-3.377034425735474;567.0359699726105;0;0.02550641608355202;-2.560021966636361
13;2;1.4654087467608286;735.4162343055067;81.56843713909078;-238.65428963549715;0.5838750004768372;0.432625025510788;-2.526405096054077;568.7357556819916;0;-0.8217068943040746;-1.002585057287214
14;2;1.425981911229859;732.6067376126753;121.84908823276794;-136.57201039564336;0.6439375281333923;0.4829375147819519;-2.398988485336304;545.6135880947113;1;2.2030003502359126;-0.8727083541987306
15;2;1.394253903539908;740.8552487073215;100.91244490033544;-76.45828472246505;0.6251875162124634;0.452750027179718;-2.183305978775024;536.64888215065;1;1.5344208506932715;-0.04640262384058998
16;2;1.4046735760574272;805.132579548532;115.80258990061375;-142.01118939939167;0.5433125495910645;0.4024375081062317;-2.184017658233643;564.1715664863586;0;-2.179752767026958;0.012170664433196612
17;2;1.4305277018961413;719.203531053337;278.9970789484214;-40.92457691874826;0.6338750123977661;0.4829375147819519;-2.46874737739563;546.7197849750519;1;2.00150330799287;-1.3887199201451863
18;2;1.3994259182603979;732.81644799722;96.52486361293914;-71.05866882280291;0.6238125562667847;0.452750027179718;-2.20537257194519;533.3873183727264;1;1.5581596130298667;-0.08493176482908125
19;2;1.4779414232674921;734.5791188709798;228.77305548480342;-109.9999111482314;0.5735000371932983;0.432625025510788;-2.560572624206543;574.0224866867065;0;-0.9897537721921007;-1.340621382685879
20;2;1.4283496857039935;720.3864782938742;106.04496852612255;-99.39284570583992;0.6471250057220459;0.4829375147819519;-2.329941749572754;539.2556009292603;1;2.511672155309562;-0.6786800427213077
21;2;1.4008933180991734;737.9340098089095;71.69231316009264;-60.12843226977766;0.6137500405311584;0.4426875114440918;-2.213914394378662;535.5170760154724;1;1.154833913498274;0.11106940213357375
22;2;1.4669153726182833;730.0206155926342;261.52727445045343;-85.80720943250375;0.5735000371932983;0.432625025510788;-2.482271909713745;572.6921107769012;0;-0.9242071420954813;-1.313909306170935
23;2;1.4189443467385627;727.5721762316174;120.19847015885796;-105.5444050207024;0.6439375281333923;0.4829375147819519;-2.420343160629272;550.6711366176605;1;2.2730073933312576;-0.7913888753621923
24;2;1.4104464986348633;737.2277506654441;107.2427719300324;-37.919186354737725;0.6137500405311584;0.452750027179718;-2.212490797042847;534.9647490978241;1;1.3256963060403564;-0.11807998804427064
