cu_id;kategorie;area_total;slope_rising;global_max_x;global_min_x;Top1_Minima_Druck;Top1_Minima_Position_x;cluster;PCA1;PCA2
34;3;511.87911280553067;1772.5438873197704;1.130562543869019;14.74831295013428;-12.92458534240723;14.74831295013428;1;-5.60255741858017;0.04962307875735699
35;3;530.4291209439843;1766.8578304028001;1.129250049591064;14.72318840026855;-11.711181640625;14.72318840026855;1;-6.405977112410276;-0.34530610252733945
36;3;523.8852440558339;1220.6930742578948;1.130562543869019;14.74831295013428;-11.77460289001465;14.74831295013428;1;-6.039499450557247;-0.30660300862983
37;3;512.5555159617617;955.3219309583429;1.134312510490417;14.77343845367432;-12.79388904571533;14.77343845367432;1;-5.468847137716307;-0.020741055952283323
38;3;526.9857891688148;1337.9620105866004;1.130562543869019;14.69806289672852;-11.65546989440918;14.69806289672852;1;-5.85245434632204;-0.3681541102985073
39;3;510.2334075639137;1549.3503289013747;1.130562543869019;14.69806289672852;-12.23256301879883;14.69806289672852;1;-6.134647605068732;-0.20756235107613694
40;3;529.6607907399906;1049.664238513589;1.130562543869019;14.72318840026855;-11.77460289001465;14.72318840026855;1;-5.6205693603245885;-0.33006265382149674
41;3;485.2363567943504;1203.6640938340704;1.130562543869019;14.77343845367432;-12.89830589294434;14.77343845367432;1;-6.4431204745834165;0.026942628317868086
42;3;504.91871298828454;1755.649211273805;1.130562543869019;14.74831295013428;-11.58293914794922;14.74831295013428;1;-6.588169734805338;-0.2871783527947721
43;4;497.8239600054233;1242.248478039379;1.131250023841858;14.74831295013428;-11.92281818389893;14.74831295013428;1;-6.05853768845423;-0.1943276955158807
44;4;485.8185922934032;228.57498086770113;1.139125108718872;14.69806289672852;-13.24974822998047;14.69806289672852;1;-5.242631148059143;0.00967253586967474
45;4;490.2196783453701;161.85763933580773;1.139687538146973;14.72318840026855;-12.02688407897949;14.72318840026855;1;-4.859259183397731;-0.19152171779708207
46;4;531.3473167523612;253.0216241008603;1.208625078201294;14.79856300354004;-11.82260608673096;14.79856300354004;0;1.9244987298828895;0.15633071884541808
47;4;531.6606561861415;214.1959262299303;1.205937504768372;14.79856300354004;-13.31281852722168;14.79856300354004;2;1.7581643645977172;0.4388424874171079
48;4;544.930956560126;212.7590136788659;1.205937504768372;14.72318840026855;-11.57242679595947;14.72318840026855;0;1.6011151628011053;-0.0476724735621699
49;4;534.9554040115556;155.74893126402227;1.205937504768372;14.77343845367432;-11.91616058349609;14.77343845367432;0;1.5043561060376194;0.09637244803412034
50;4;516.7415119800423;297.70447374538384;1.205937504768372;14.77343845367432;-13.31877517700195;14.77343845367432;2;1.4594829507099172;0.43938654265806754
51;4;544.819982062193;447.98546060352453;1.205937504768372;14.79856300354004;-11.66598129272461;14.79856300354004;0;1.7099593862119222;0.08820250708631584
52;4;530.5501851825125;210.3054520954738;1.205937504768372;14.79856300354004;-11.90599918365479;14.79856300354004;0;1.790669901161262;0.16505578809843469
53;4;517.5904739416875;225.28310946417892;1.205937504768372;14.77343845367432;-12.92633724212646;14.77343845367432;2;1.5285176988571656;0.361056720477718
54;4;532.0913080488001;566.6804649565911;1.18081259727478;14.74831295013428;-11.73500823974609;14.74831295013428;0;0.37006397985573797;0.04279328400129829
55;4;538.3917274865316;484.15949592909175;1.18081259727478;14.77343845367432;-11.99219512939453;14.77343845367432;0;0.5283473847678642;0.11009020340336739
56;4;532.7311749419646;574.5608950530833;1.184312582015991;14.77343845367432;-12.4599666595459;14.77343845367432;0;0.6020074645323077;0.22598689356888302
57;4;528.1978664338722;133.21138909580552;1.205937504768372;14.72318840026855;-12.61448955535889;14.72318840026855;2;1.6795706959144525;0.2138698209638615
58;4;465.16440355329496;116.04374581876017;1.205937504768372;14.77343845367432;-22.24988555908203;14.77343845367432;2;1.4132524638589872;2.3568579753484045
59;4;501.7548216058575;85.78112856620716;1.205937504768372;14.74831295013428;-23.17036247253418;14.74831295013428;2;1.364553428859028;2.390605823727956
60;4;522.9564719670485;55.14767493794559;1.205937504768372;14.77343845367432;-20.77824401855469;14.77343845367432;2;1.4334570874422587;1.8845541686164198
61;4;575.3962618390517;262.03895389355984;1.188750028610229;14.77343845367432;-19.04696273803711;14.77343845367432;2;0.9561834178633566;1.39957338967401
62;4;636.4124199493742;280.1683742198539;1.193312525749207;14.74831295013428;-15.91972541809082;14.74831295013428;0;1.2040414772355015;0.5702571236383474
63;4;664.9278333789616;343.5173559258571;1.187625050544739;14.74831295013428;-13.33839702606201;14.74831295013428;0;0.9974379838126157;-0.030495457387302853
64;4;687.3124303806179;149.4089006917654;1.205937504768372;14.77343845367432;-11.22063446044922;14.77343845367432;0;1.6713142052576513;-0.49943601365144
65;4;692.3497267943787;289.6261484057142;1.18081259727478;14.77343845367432;-10.12391185760498;14.77343845367432;0;0.44047447243442645;-0.7615856440146144
66;4;676.2104008495688;189.6496934960413;1.18081259727478;14.74831295013428;-10.48621559143066;14.74831295013428;0;0.7173467397064011;-0.6539343712953573
67;4;687.0877546381848;339.43886177743815;1.176500082015991;14.77343845367432;-8.75668716430664;14.77343845367432;0;0.44236606257615535;-1.0014854587525448
68;4;659.9673965797772;38.741980328614524;1.205937504768372;14.77343845367432;-9.977798461914062;14.77343845367432;0;1.5661131055753117;-0.681208358709355
69;4;650.5552359395218;63.88612802057118;1.205937504768372;14.82368850708008;-10.80892562866211;14.82368850708008;0;1.6385755140867664;-0.4227631545682447
70;4;651.4513095295097;96.59016051204404;1.205937504768372;14.77343845367432;-9.85270881652832;14.77343845367432;0;1.620011641928956;-0.6681102936481701
71;4;637.7582157724495;248.31023433242004;1.183812499046326;14.74831295013428;-10.66806888580322;14.74831295013428;0;0.7478329698512043;-0.49678473285796904
72;4;630.2713877018707;194.944647722852;1.182937502861023;14.79856300354004;-11.18945026397705;14.79856300354004;0;0.6941312908307136;-0.3205092212985087
73;4;627.593252321754;179.94566408714525;1.205937504768372;14.77343845367432;-10.37654304504395;14.77343845367432;0;1.6625454581983092;-0.47943472904290796
74;4;613.4021941727108;61.362117639242456;1.205937504768372;14.74831295013428;-10.99007797241211;14.74831295013428;0;1.6214210797154947;-0.35575650486027927
75;4;612.3128643109106;218.06702197561324;1.205937504768372;14.77343845367432;-11.71713829040527;14.77343845367432;0;1.757120900012766;-0.15230327467584548
76;4;638.4353254539367;44.6268842254084;1.205937504768372;14.77343845367432;-10.50373554229736;14.77343845367432;0;1.6130387541064142;-0.5044503737069238
77;4;632.0177444123486;180.78133258683897;1.205937504768372;14.79856300354004;-11.60676574707031;14.79856300354004;0;1.7185490725099593;-0.2153560508405418
78;4;631.4539169491734;277.35999542561507;1.194875001907349;14.77343845367432;-10.97430992126465;14.77343845367432;0;1.1944712864075695;-0.3753046659988253
79;4;630.5693847873788;160.75331971928247;1.190312504768372;14.77343845367432;-10.82259082794189;14.77343845367432;0;1.0053246427121412;-0.4169833244181105
80;4;626.3712954321387;27.79448005579427;1.205937504768372;14.77343845367432;-11.58854484558105;14.77343845367432;0;1.5044771584475483;-0.2606717065114302
81;4;620.9276911030481;165.32875314926528;1.205937504768372;14.79856300354004;-11.55841159820557;14.79856300354004;0;1.6209463399874338;-0.20058271853237328
82;4;626.9374858703397;278.29105791792347;1.18081259727478;14.77343845367432;-11.00058937072754;14.77343845367432;0;0.653231502450938;-0.3658829456103305
83;4;634.8416931918041;171.17235947485585;1.205937504768372;14.79856300354004;-11.18909931182861;14.79856300354004;0;1.7524132648073334;-0.30517728668105193
84;4;631.178395651338;106.03029943585642;1.205937504768372;14.79856300354004;-11.38812160491943;14.79856300354004;0;1.5325486491294054;-0.27924605379421996
85;4;628.4151163032316;121.31736484448878;1.194500088691711;14.74831295013428;-11.89864063262939;14.74831295013428;0;1.134183305568392;-0.2280756772401906
86;5;634.093912142583;79.88286369049611;1.205937504768372;14.74831295013428;-10.90388107299805;14.74831295013428;0;1.6156852012890992;-0.4348594146949824
87;5;627.6720584593593;247.8690048377726;1.185125112533569;14.74831295013428;-11.91475868225098;14.74831295013428;0;0.8000491582223191;-0.21585566026691666
88;5;630.7934890651801;106.47494455601732;1.190562605857849;14.77343845367432;-10.95573902130127;14.77343845367432;0;0.923889192443382;-0.4057124298708618
89;5;629.7872508686053;132.19065465593926;1.169750094413757;14.74831295013428;-10.61270713806152;14.74831295013428;0;-0.023889247550283894;-0.5232725165863714
90;5;618.8885785467361;562.6286017189929;1.18081259727478;14.74831295013428;-12.369215965271;14.74831295013428;0;0.4445109512725263;-0.08809557987382269
91;5;617.3056521496949;136.04270199228156;1.205937504768372;14.77343845367432;-10.95924282073975;14.77343845367432;0;1.603229348953808;-0.3399088378173467
92;5;623.8287360285908;121.44100510523512;1.18081259727478;14.74831295013428;-11.01916027069092;14.74831295013428;0;0.6363472594373675;-0.3973684681301466
93;5;616.2609544745312;180.50111024653006;1.18081259727478;14.77343845367432;-11.70837879180908;14.77343845367432;0;0.5580212680955591;-0.20888563602826293
94;5;622.7117303412017;163.60831006986996;1.190125107765198;14.77343845367432;-10.77283573150635;14.77343845367432;0;0.9818821739208387;-0.404470702054876
